@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
113,10,2,733,111,0.868483,0.833333,0.013459,0.833333,0.986541,0.02649,0.867991,0.960072,0
114,10,2,732,112,0.867299,0.833333,0.013477,0.833333,0.986523,0.026525,0.866822,0.961366,0
115,10,2,731,113,0.866114,0.833333,0.013495,0.833333,0.986505,0.02656,0.865654,0.962663,0
116,10,2,730,114,0.864929,0.833333,0.013514,0.833333,0.986486,0.026596,0.864486,0.963964,0
117,10,2,729,115,0.863744,0.833333,0.013532,0.833333,0.986468,0.026631,0.863318,0.965268,0
118,10,2,728,116,0.862559,0.833333,0.01355,0.833333,0.98645,0.026667,0.86215,0.966576,0
119,10,2,727,117,0.861374,0.833333,0.013569,0.833333,0.986431,0.026702,0.860981,0.967888,0
120,10,2,726,118,0.86019,0.833333,0.013587,0.833333,0.986413,0.026738,0.859813,0.969203,0
121,10,2,725,119,0.859005,0.833333,0.013605,0.833333,0.986395,0.026774,0.858645,0.970522,0
122,10,2,724,120,0.85782,0.833333,0.013624,0.833333,0.986376,0.02681,0.857477,0.971844,0
123,10,2,723,121,0.856635,0.833333,0.013643,0.833333,0.986357,0.026846,0.856308,0.97317,0
124,10,2,722,122,0.85545,0.833333,0.013661,0.833333,0.986339,0.026882,0.85514,0.974499,0
125,10,2,721,123,0.854265,0.833333,0.01368,0.833333,0.98632,0.026918,0.853972,0.975832,0
126,10,2,720,124,0.853081,0.833333,0.013699,0.833333,0.986301,0.026954,0.852804,0.977169,0
127,10,2,719,125,0.851896,0.833333,0.013717,0.833333,0.986283,0.026991,0.851636,0.978509,0
128,10,2,718,126,0.850711,0.833333,0.013736,0.833333,0.986264,0.027027,0.850467,0.979853,0
129,10,2,717,127,0.849526,0.833333,0.013755,0.833333,0.986245,0.027064,0.849299,0.981201,0
130,10,2,716,128,0.848341,0.833333,0.013774,0.833333,0.986226,0.0271,0.848131,0.982553,0
