@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
118,130,71,38,47,0.447059,0.646766,0.77381,0.646766,0.22619,0.704607,0.587413,1.101042,0.69129
119,130,71,37,48,0.435294,0.646766,0.778443,0.646766,0.221557,0.706522,0.583916,1.107635,0.69146
120,129,72,37,48,0.435294,0.641791,0.777108,0.641791,0.222892,0.702997,0.58042,1.105736,0.697208
121,129,72,36,49,0.423529,0.641791,0.781818,0.641791,0.218182,0.704918,0.576923,1.112438,0.697808
122,129,72,35,50,0.411765,0.641791,0.786585,0.641791,0.213415,0.706849,0.573427,1.119221,0.70339
123,128,73,35,50,0.411765,0.636816,0.785276,0.636816,0.214724,0.703297,0.56993,1.117358,0.704489
124,127,74,35,50,0.411765,0.631841,0.783951,0.631841,0.216049,0.699725,0.566434,1.115472,0.704597
125,126,75,35,50,0.411765,0.626866,0.782609,0.626866,0.217391,0.696133,0.562937,1.113563,0.709764
126,125,76,35,50,0.411765,0.621891,0.78125,0.621891,0.21875,0.692521,0.559441,1.111629,0.71193
127,125,76,34,51,0.4,0.621891,0.786164,0.621891,0.213836,0.694444,0.555944,1.118621,0.711961
128,124,77,34,51,0.4,0.616915,0.78481,0.616915,0.21519,0.690808,0.552448,1.116695,0.71237
129,124,77,33,52,0.388235,0.616915,0.789809,0.616915,0.210191,0.692737,0.548951,1.123808,0.712818
130,123,78,33,52,0.388235,0.61194,0.788462,0.61194,0.211538,0.689076,0.545455,1.121891,0.713274
131,123,78,32,53,0.376471,0.61194,0.793548,0.61194,0.206452,0.691011,0.541958,1.129129,0.718196
132,122,79,32,53,0.376471,0.606965,0.792208,0.606965,0.207792,0.687324,0.538462,1.127221,0.718465
133,121,80,32,53,0.376471,0.60199,0.79085,0.60199,0.20915,0.683616,0.534965,1.125289,0.718531
134,121,80,31,54,0.364706,0.60199,0.796053,0.60199,0.203947,0.685552,0.531469,1.132692,0.718972
135,120,81,31,54,0.364706,0.597015,0.794702,0.597015,0.205298,0.681818,0.527972,1.13077,0.724408
136,119,82,31,54,0.364706,0.59204,0.793333,0.59204,0.206667,0.678063,0.524476,1.128823,0.736501
137,119,82,30,55,0.352941,0.59204,0.798658,0.59204,0.201342,0.68,0.520979,1.136399,0.738968
138,118,83,30,55,0.352941,0.587065,0.797297,0.587065,0.202703,0.676218,0.517483,1.134463,0.741432
139,117,84,30,55,0.352941,0.58209,0.795918,0.58209,0.204082,0.672414,0.513986,1.132501,0.744219
140,116,85,30,55,0.352941,0.577114,0.794521,0.577114,0.205479,0.668588,0.51049,1.130512,0.750212
141,115,86,30,55,0.352941,0.572139,0.793103,0.572139,0.206897,0.66474,0.506993,1.128495,0.761793
142,115,86,28,57,0.329412,0.572139,0.804196,0.572139,0.195804,0.668605,0.5,1.144279,0.764946
143,115,86,27,58,0.317647,0.572139,0.809859,0.572139,0.190141,0.670554,0.496503,1.152337,0.765119
144,114,87,27,58,0.317647,0.567164,0.808511,0.567164,0.191489,0.666667,0.493007,1.150418,0.766617
145,113,88,27,58,0.317647,0.562189,0.807143,0.562189,0.192857,0.662757,0.48951,1.148472,0.767
146,112,89,27,58,0.317647,0.557214,0.805755,0.557214,0.194245,0.658824,0.486014,1.146498,0.768285
147,112,89,26,59,0.305882,0.557214,0.811594,0.557214,0.188406,0.660767,0.482517,1.154806,0.772071
148,111,90,26,59,0.305882,0.552239,0.810219,0.552239,0.189781,0.656805,0.479021,1.152849,0.773946
149,111,90,25,60,0.294118,0.552239,0.816176,0.552239,0.183824,0.658754,0.475524,1.161326,0.774527
150,111,90,24,61,0.282353,0.552239,0.822222,0.552239,0.177778,0.660714,0.472028,1.169928,0.776159
151,110,91,24,61,0.282353,0.547264,0.820896,0.547264,0.179104,0.656716,0.468531,1.16804,0.779123
152,109,92,24,61,0.282353,0.542289,0.819549,0.542289,0.180451,0.652695,0.465035,1.166124,0.780333
153,108,93,24,61,0.282353,0.537313,0.818182,0.537313,0.181818,0.648649,0.461538,1.164179,0.781043
154,107,94,24,61,0.282353,0.532338,0.816794,0.532338,0.183206,0.644578,0.458042,1.162204,0.782661
155,106,95,24,61,0.282353,0.527363,0.815385,0.527363,0.184615,0.640483,0.454545,1.160199,0.78381
156,105,96,24,61,0.282353,0.522388,0.813953,0.522388,0.186047,0.636364,0.451049,1.158163,0.784164
157,105,96,23,62,0.270588,0.522388,0.820313,0.522388,0.179688,0.638298,0.447552,1.167211,0.787016
158,104,97,23,62,0.270588,0.517413,0.818898,0.517413,0.181102,0.634146,0.444056,1.165198,0.788357
159,103,98,23,62,0.270588,0.512438,0.81746,0.512438,0.18254,0.629969,0.440559,1.163152,0.789214
160,102,99,23,62,0.270588,0.507463,0.816,0.507463,0.184,0.625767,0.437063,1.161075,0.799114
161,101,100,23,62,0.270588,0.502488,0.814516,0.502488,0.185484,0.621538,0.433566,1.158963,0.799278
162,100,101,23,62,0.270588,0.497512,0.813008,0.497512,0.186992,0.617284,0.43007,1.156818,0.799369
163,99,102,23,62,0.270588,0.492537,0.811475,0.492537,0.188525,0.613003,0.426573,1.154637,0.799576
164,99,102,22,63,0.258824,0.492537,0.818182,0.492537,0.181818,0.614907,0.423077,1.164179,0.800107
165,99,102,21,64,0.247059,0.492537,0.825,0.492537,0.175,0.616822,0.41958,1.173881,0.800693
166,98,103,21,64,0.247059,0.487562,0.823529,0.487562,0.176471,0.6125,0.416084,1.171788,0.801619
167,97,104,21,64,0.247059,0.482587,0.822034,0.482587,0.177966,0.60815,0.412587,1.16966,0.801771
168,97,104,20,65,0.235294,0.482587,0.82906,0.482587,0.17094,0.610063,0.409091,1.179657,0.803306
169,96,105,20,65,0.235294,0.477612,0.827586,0.477612,0.172414,0.605678,0.405594,1.17756,0.80496
170,95,106,20,65,0.235294,0.472637,0.826087,0.472637,0.173913,0.601266,0.402098,1.175427,0.80554
171,94,107,20,65,0.235294,0.467662,0.824561,0.467662,0.175439,0.596825,0.398601,1.173257,0.808598
172,93,108,20,65,0.235294,0.462687,0.823009,0.462687,0.176991,0.592357,0.395105,1.171047,0.810597
173,92,109,20,65,0.235294,0.457711,0.821429,0.457711,0.178571,0.587859,0.391608,1.168799,0.810852
174,91,110,20,65,0.235294,0.452736,0.81982,0.452736,0.18018,0.583333,0.388112,1.16651,0.813775
175,90,111,20,65,0.235294,0.447761,0.818182,0.447761,0.181818,0.578778,0.384615,1.164179,0.815084
176,89,112,20,65,0.235294,0.442786,0.816514,0.442786,0.183486,0.574194,0.381119,1.161806,0.818554
177,88,113,20,65,0.235294,0.437811,0.814815,0.437811,0.185185,0.569579,0.377622,1.159388,0.819894
178,87,114,20,65,0.235294,0.432836,0.813084,0.432836,0.186916,0.564935,0.374126,1.156926,0.820013
179,86,115,20,65,0.235294,0.427861,0.811321,0.427861,0.188679,0.560261,0.370629,1.154417,0.826861
180,85,116,20,65,0.235294,0.422886,0.809524,0.422886,0.190476,0.555556,0.367133,1.15186,0.829152
181,84,117,20,65,0.235294,0.41791,0.807692,0.41791,0.192308,0.55082,0.363636,1.149254,0.832161
182,83,118,20,65,0.235294,0.412935,0.805825,0.412935,0.194175,0.546053,0.36014,1.146597,0.83385
183,82,119,20,65,0.235294,0.40796,0.803922,0.40796,0.196078,0.541254,0.356643,1.143888,0.835541
184,81,120,20,65,0.235294,0.402985,0.80198,0.402985,0.19802,0.536424,0.353147,1.141126,0.837086
185,80,121,20,65,0.235294,0.39801,0.8,0.39801,0.2,0.531561,0.34965,1.138308,0.840495
186,79,122,20,65,0.235294,0.393035,0.79798,0.393035,0.20202,0.526667,0.346154,1.135434,0.84403
187,79,122,19,66,0.223529,0.393035,0.806122,0.393035,0.193878,0.528428,0.342657,1.14702,0.845648
188,78,123,19,66,0.223529,0.38806,0.804124,0.38806,0.195876,0.52349,0.339161,1.144176,0.846325
189,77,124,19,66,0.223529,0.383085,0.802083,0.383085,0.197917,0.518519,0.335664,1.141273,0.847352
190,76,125,19,66,0.223529,0.378109,0.8,0.378109,0.2,0.513514,0.332168,1.138308,0.847526
191,76,125,18,67,0.211765,0.378109,0.808511,0.378109,0.191489,0.515254,0.328671,1.150418,0.8486
192,75,126,18,67,0.211765,0.373134,0.806452,0.373134,0.193548,0.510204,0.325175,1.147488,0.849498
193,74,127,18,67,0.211765,0.368159,0.804348,0.368159,0.195652,0.505119,0.321678,1.144495,0.850056
194,73,128,18,67,0.211765,0.363184,0.802198,0.363184,0.197802,0.5,0.318182,1.141436,0.851022
195,72,129,18,67,0.211765,0.358209,0.8,0.358209,0.2,0.494845,0.314685,1.138308,0.851495
196,71,130,18,67,0.211765,0.353234,0.797753,0.353234,0.202247,0.489655,0.311189,1.135111,0.853425
197,70,131,18,67,0.211765,0.348259,0.795455,0.348259,0.204545,0.484429,0.307692,1.131841,0.854193
198,69,132,18,67,0.211765,0.343284,0.793103,0.343284,0.206897,0.479167,0.304196,1.128495,0.857849
199,68,133,18,67,0.211765,0.338308,0.790698,0.338308,0.209302,0.473868,0.300699,1.125072,0.857936
200,68,133,17,68,0.2,0.338308,0.8,0.338308,0.2,0.475524,0.297203,1.138308,0.859799
201,67,134,17,68,0.2,0.333333,0.797619,0.333333,0.202381,0.470175,0.293706,1.134921,0.86385
202,66,135,17,68,0.2,0.328358,0.795181,0.328358,0.204819,0.464789,0.29021,1.131451,0.865256
203,65,136,17,68,0.2,0.323383,0.792683,0.323383,0.207317,0.459364,0.286713,1.127897,0.867007
204,65,136,16,69,0.188235,0.323383,0.802469,0.323383,0.197531,0.460993,0.283217,1.141822,0.874271
205,64,137,16,69,0.188235,0.318408,0.8,0.318408,0.2,0.455516,0.27972,1.138308,0.874425
206,63,138,16,69,0.188235,0.313433,0.797468,0.313433,0.202532,0.45,0.276224,1.134706,0.874963
207,63,138,15,70,0.176471,0.313433,0.807692,0.313433,0.192308,0.451613,0.272727,1.149254,0.879
208,62,139,15,70,0.176471,0.308458,0.805195,0.308458,0.194805,0.446043,0.269231,1.1457,0.879033
209,61,140,15,70,0.176471,0.303483,0.802632,0.303483,0.197368,0.440433,0.265734,1.142053,0.88
210,60,141,15,70,0.176471,0.298507,0.8,0.298507,0.2,0.434783,0.262238,1.138308,0.8805
211,59,142,15,70,0.176471,0.293532,0.797297,0.293532,0.202703,0.429091,0.258741,1.134463,0.881199
212,58,143,15,70,0.176471,0.288557,0.794521,0.288557,0.205479,0.423358,0.255245,1.130512,0.883496
213,57,144,15,70,0.176471,0.283582,0.791667,0.283582,0.208333,0.417582,0.251748,1.126451,0.885473
214,56,145,15,70,0.176471,0.278607,0.788732,0.278607,0.211268,0.411765,0.248252,1.122276,0.885743
215,55,146,15,70,0.176471,0.273632,0.785714,0.273632,0.214286,0.405904,0.244755,1.117982,0.888809
216,54,147,15,70,0.176471,0.268657,0.782609,0.268657,0.217391,0.4,0.241259,1.113563,0.893165
217,53,148,15,70,0.176471,0.263682,0.779412,0.263682,0.220588,0.394052,0.237762,1.109014,0.897548
218,52,149,15,70,0.176471,0.258706,0.776119,0.258706,0.223881,0.38806,0.234266,1.104329,0.9004
219,51,150,15,70,0.176471,0.253731,0.772727,0.253731,0.227273,0.382022,0.230769,1.099502,0.901405
220,50,151,15,70,0.176471,0.248756,0.769231,0.248756,0.230769,0.37594,0.227273,1.094527,0.906667
221,49,152,15,70,0.176471,0.243781,0.765625,0.243781,0.234375,0.369811,0.223776,1.089397,0.906785
222,48,153,15,70,0.176471,0.238806,0.761905,0.238806,0.238095,0.363636,0.22028,1.084103,0.907059
223,48,153,14,71,0.164706,0.238806,0.774194,0.238806,0.225806,0.365019,0.216783,1.101589,0.907156
224,48,153,13,72,0.152941,0.238806,0.786885,0.238806,0.213115,0.366412,0.213287,1.119648,0.909766
225,47,154,13,72,0.152941,0.233831,0.783333,0.233831,0.216667,0.360153,0.20979,1.114594,0.910513
226,46,155,13,72,0.152941,0.228856,0.779661,0.228856,0.220339,0.353846,0.206294,1.109368,0.913333
227,46,155,11,74,0.129412,0.228856,0.807018,0.228856,0.192982,0.356589,0.199301,1.148294,0.914028
228,45,156,11,74,0.129412,0.223881,0.803571,0.223881,0.196429,0.350195,0.195804,1.14339,0.916701
229,45,156,10,75,0.117647,0.223881,0.818182,0.223881,0.181818,0.351563,0.192308,1.164179,0.918
230,44,157,10,75,0.117647,0.218905,0.814815,0.218905,0.185185,0.345098,0.188811,1.159388,0.919418
231,43,158,10,75,0.117647,0.21393,0.811321,0.21393,0.188679,0.338583,0.185315,1.154417,0.920992
232,42,159,10,75,0.117647,0.208955,0.807692,0.208955,0.192308,0.332016,0.181818,1.149254,0.923137
233,41,160,10,75,0.117647,0.20398,0.803922,0.20398,0.196078,0.325397,0.178322,1.143888,0.925083
234,40,161,10,75,0.117647,0.199005,0.8,0.199005,0.2,0.318725,0.174825,1.138308,0.925546
235,40,161,9,76,0.105882,0.199005,0.816327,0.199005,0.183673,0.32,0.171329,1.161539,0.926023
236,39,162,9,76,0.105882,0.19403,0.8125,0.19403,0.1875,0.313253,0.167832,1.156095,0.926089
237,38,163,9,76,0.105882,0.189055,0.808511,0.189055,0.191489,0.306452,0.164336,1.150418,0.929995
238,37,164,9,76,0.105882,0.18408,0.804348,0.18408,0.195652,0.299595,0.160839,1.144495,0.931629
239,37,164,8,77,0.094118,0.18408,0.822222,0.18408,0.177778,0.300813,0.157343,1.169928,0.932309
240,36,165,8,77,0.094118,0.179104,0.818182,0.179104,0.181818,0.293878,0.153846,1.164179,0.933135
241,35,166,8,77,0.094118,0.174129,0.813953,0.174129,0.186047,0.286885,0.15035,1.158163,0.93541
242,35,166,7,78,0.082353,0.174129,0.833333,0.174129,0.166667,0.288066,0.146853,1.185738,0.936731
243,34,167,7,78,0.082353,0.169154,0.829268,0.169154,0.170732,0.280992,0.143357,1.179954,0.939093
