@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
201,68,133,15,70,0.176471,0.338308,0.819277,0.338308,0.180723,0.478873,0.29021,1.165738,0.927274
202,67,134,15,70,0.176471,0.333333,0.817073,0.333333,0.182927,0.473498,0.286713,1.162602,0.927678
203,66,135,15,70,0.176471,0.328358,0.814815,0.328358,0.185185,0.468085,0.283217,1.159388,0.928356
204,65,136,15,70,0.176471,0.323383,0.8125,0.323383,0.1875,0.462633,0.27972,1.156095,0.928837
205,64,137,15,70,0.176471,0.318408,0.810127,0.318408,0.189873,0.457143,0.276224,1.152717,0.929314
206,63,138,15,70,0.176471,0.313433,0.807692,0.313433,0.192308,0.451613,0.272727,1.149254,0.929386
207,63,138,14,71,0.164706,0.313433,0.818182,0.313433,0.181818,0.453237,0.269231,1.164179,0.930116
208,63,138,13,72,0.152941,0.313433,0.828947,0.313433,0.171053,0.454874,0.265734,1.179497,0.93084
209,62,139,13,72,0.152941,0.308458,0.826667,0.308458,0.173333,0.449275,0.262238,1.176252,0.931178
210,61,140,13,72,0.152941,0.303483,0.824324,0.303483,0.175676,0.443636,0.258741,1.172919,0.931818
211,60,141,13,72,0.152941,0.298507,0.821918,0.298507,0.178082,0.437956,0.255245,1.169495,0.932916
212,59,142,13,72,0.152941,0.293532,0.819444,0.293532,0.180556,0.432234,0.251748,1.165976,0.93314
213,58,143,13,72,0.152941,0.288557,0.816901,0.288557,0.183099,0.426471,0.248252,1.162357,0.933692
214,57,144,13,72,0.152941,0.283582,0.814286,0.283582,0.185714,0.420664,0.244755,1.158635,0.934163
215,56,145,13,72,0.152941,0.278607,0.811594,0.278607,0.188406,0.414815,0.241259,1.154806,0.934896
216,55,146,13,72,0.152941,0.273632,0.808824,0.273632,0.191176,0.408922,0.237762,1.150863,0.934957
217,54,147,13,72,0.152941,0.268657,0.80597,0.268657,0.19403,0.402985,0.234266,1.146803,0.935725
218,53,148,13,72,0.152941,0.263682,0.80303,0.263682,0.19697,0.397004,0.230769,1.14262,0.936568
219,53,148,12,73,0.141176,0.263682,0.815385,0.263682,0.184615,0.398496,0.227273,1.160199,0.937807
220,52,149,12,73,0.141176,0.258706,0.8125,0.258706,0.1875,0.392453,0.223776,1.156095,0.938291
221,51,150,12,73,0.141176,0.253731,0.809524,0.253731,0.190476,0.386364,0.22028,1.15186,0.93896
222,50,151,12,73,0.141176,0.248756,0.806452,0.248756,0.193548,0.380228,0.216783,1.147488,0.939079
223,50,151,11,74,0.129412,0.248756,0.819672,0.248756,0.180328,0.381679,0.213287,1.1663,0.939785
224,49,152,11,74,0.129412,0.243781,0.816667,0.243781,0.183333,0.375479,0.20979,1.162023,0.940274
225,48,153,11,74,0.129412,0.238806,0.813559,0.238806,0.186441,0.369231,0.206294,1.157602,0.9426
226,47,154,11,74,0.129412,0.233831,0.810345,0.233831,0.189655,0.362934,0.202797,1.153028,0.943539
227,46,155,11,74,0.129412,0.228856,0.807018,0.228856,0.192982,0.356589,0.199301,1.148294,0.943628
228,45,156,11,74,0.129412,0.223881,0.803571,0.223881,0.196429,0.350195,0.195804,1.14339,0.943913
229,44,157,11,74,0.129412,0.218905,0.8,0.218905,0.2,0.34375,0.192308,1.138308,0.944053
230,43,158,11,74,0.129412,0.21393,0.796296,0.21393,0.203704,0.337255,0.188811,1.133039,0.944464
231,42,159,11,74,0.129412,0.208955,0.792453,0.208955,0.207547,0.330709,0.185315,1.12757,0.945164
232,42,159,10,75,0.117647,0.208955,0.807692,0.208955,0.192308,0.332016,0.181818,1.149254,0.945431
233,42,159,9,76,0.105882,0.208955,0.823529,0.208955,0.176471,0.333333,0.178322,1.171788,0.946489
234,42,159,8,77,0.094118,0.208955,0.84,0.208955,0.16,0.334661,0.174825,1.195224,0.946789
235,41,160,8,77,0.094118,0.20398,0.836735,0.20398,0.163265,0.328,0.171329,1.190578,0.947718
236,40,161,8,77,0.094118,0.199005,0.833333,0.199005,0.166667,0.321285,0.167832,1.185738,0.948864
237,40,161,7,78,0.082353,0.199005,0.851064,0.199005,0.148936,0.322581,0.164336,1.210966,0.950294
238,39,162,7,78,0.082353,0.19403,0.847826,0.19403,0.152174,0.315789,0.160839,1.20636,0.950442
239,38,163,7,78,0.082353,0.189055,0.844444,0.189055,0.155556,0.308943,0.157343,1.201548,0.950809
240,38,163,6,79,0.070588,0.189055,0.863636,0.189055,0.136364,0.310204,0.153846,1.228856,0.951274
241,38,163,5,80,0.058824,0.189055,0.883721,0.189055,0.116279,0.311475,0.15035,1.257434,0.951825
242,37,164,5,80,0.058824,0.18408,0.880952,0.18408,0.119048,0.304527,0.146853,1.253494,0.95223
243,37,164,4,81,0.047059,0.18408,0.902439,0.18408,0.097561,0.305785,0.143357,1.284067,0.954687
